job_id,job_role,industry,country,year,automation_risk_percent,ai_replacement_score,skill_gap_index,salary_before_usd,salary_after_usd,salary_change_percent,skill_demand_growth_percent,remote_feasibility_score,ai_adoption_level,education_requirement_level
0,Data Analyst,Technology,Canada,2021,26.22,30.94,73.2,101839.02,99454.42,-2.34,2.66,15.23,86.62,2
1,Accountant,Finance,Brazil,2020,52.08,56.41,2.06,146389.18,139516.59,-4.69,10.43,26.36,18.34,5
2,Teacher,Technology,USA,2020,31.3,31.61,43.19,64947.5,58369.41,-10.13,8.14,36.29,36.64,2
3,Customer Support Rep,Technology,Brazil,2021,56.92,63.42,19.97,91708.13,86715.7,-5.44,6.11,64.68,17.05,5
4,Teacher,Manufacturing,Japan,2024,14.55,17.17,96.56,127007.68,119379.11,-6.01,2.08,71.58,44.02,3
5,Software Engineer,Healthcare,Singapore,2022,8.54,8.53,3.44,139118.45,150561.57,8.23,-7.21,38.05,52.01,3
6,Accountant,Manufacturing,Australia,2020,48.27,42.18,96.96,123015.94,132100.25,7.38,6.71,17.96,19.6,1
7,Teacher,Finance,Australia,2026,13.17,12.25,38.87,62561.88,59680.04,-4.61,15.57,35.28,54.27,3
8,Marketing Specialist,Retail,USA,2025,19.86,22.27,7.46,148426.43,138379.12,-6.77,11.12,10.5,81.55,4
9,Financial Analyst,Finance,Singapore,2020,59.48,64.93,77.13,38885.36,35622.03,-8.39,1.91,87.68,62.33,5
10,HR Manager,Education,Germany,2025,33.16,27.37,31.1,69022.0,74630.21,8.13,18.56,89.85,47.22,1
11,Software Engineer,Manufacturing,Canada,2020,8.37,9.09,76.08,97353.26,97004.49,-0.36,20.65,57.05,42.75,2
12,Data Analyst,Transportation,Canada,2023,5.0,4.22,3.14,106369.25,107345.3,0.92,-14.88,91.68,24.93,3
13,Accountant,Education,Australia,2021,38.73,42.69,22.88,39237.59,36065.26,-8.08,-0.02,93.67,80.81,3
14,Data Analyst,Healthcare,Brazil,2025,44.34,50.93,80.37,52388.41,52896.98,0.97,14.69,82.67,89.61,2
15,Accountant,Energy,Singapore,2022,32.26,27.23,22.79,81252.93,83659.0,2.96,7.61,10.63,51.07,5
16,Customer Support Rep,Education,USA,2021,54.22,48.19,11.99,70513.82,69376.53,-1.61,9.04,56.69,70.3,1
17,Mechanical Engineer,Transportation,Canada,2020,35.45,42.14,96.24,60213.88,48660.21,-19.19,4.73,35.64,3.69,2
18,Marketing Specialist,Education,Germany,2025,52.67,52.73,5.15,63437.58,62217.28,-1.92,8.02,23.04,48.95,4
19,Teacher,Energy,UK,2022,79.0,70.84,67.21,121394.35,130997.04,7.91,-4.09,43.1,63.23,2
20,Customer Support Rep,Retail,Singapore,2024,69.35,70.34,9.03,130236.3,117335.92,-9.91,-0.66,13.67,59.09,4
21,Mechanical Engineer,Manufacturing,UK,2024,57.43,46.32,51.21,57179.49,51105.29,-10.62,9.74,72.18,38.67,4
22,Data Analyst,Technology,India,2021,65.57,56.06,34.11,43616.82,47165.13,8.14,-7.31,83.55,55.52,2
23,Teacher,Finance,Singapore,2023,47.08,42.21,9.31,137665.89,141243.59,2.6,12.82,40.51,34.92,5
24,Truck Driver,Retail,Brazil,2026,75.82,87.86,88.71,123585.07,115180.98,-6.8,7.32,24.55,89.86,1
25,Data Analyst,Retail,Australia,2020,42.45,34.12,10.15,109620.21,130072.87,18.66,9.74,68.68,22.43,3
26,Teacher,Healthcare,Japan,2020,59.85,53.56,32.54,119578.97,131098.92,9.63,9.13,69.19,56.83,3
27,Financial Analyst,Healthcare,Brazil,2020,16.56,15.68,26.52,59278.76,58821.71,-0.77,8.41,90.28,63.11,3
28,Financial Analyst,Manufacturing,UK,2022,65.64,65.71,57.69,89102.12,94676.95,6.26,-3.57,35.27,2.43,2
29,Financial Analyst,Technology,Australia,2023,55.18,48.06,94.05,144471.43,141243.03,-2.23,12.14,11.39,92.83,1
30,Data Analyst,Education,Canada,2021,29.97,35.57,96.36,132361.13,121152.88,-8.47,-10.15,86.6,31.69,1
31,Customer Support Rep,Finance,India,2025,36.86,37.7,93.62,113523.58,103489.71,-8.84,6.54,65.35,99.01,4
32,Data Analyst,Healthcare,UK,2025,9.81,9.88,87.74,118892.23,131768.87,10.83,15.54,42.35,29.36,4
33,Financial Analyst,Healthcare,Canada,2024,66.66,74.92,86.71,139588.87,146778.36,5.15,43.53,81.85,65.0,5
34,Teacher,Manufacturing,Brazil,2026,59.14,66.13,89.0,70559.42,65106.41,-7.73,2.63,62.05,3.59,2
35,HR Manager,Transportation,Australia,2023,42.59,43.32,28.65,100899.99,96138.2,-4.72,15.89,21.44,52.22,5
36,Truck Driver,Finance,Germany,2021,78.9,69.93,62.29,40241.7,40425.08,0.46,-1.52,58.66,63.74,1
37,Mechanical Engineer,Technology,Brazil,2021,60.83,72.4,51.63,68754.78,64204.68,-6.62,13.52,49.51,7.85,5
38,Customer Support Rep,Technology,India,2025,26.77,31.73,83.6,113516.9,99891.51,-12.0,1.65,24.08,25.02,1
39,Customer Support Rep,Finance,USA,2026,63.45,68.89,66.02,63592.07,77087.3,21.22,15.32,47.76,24.77,3
40,Data Analyst,Manufacturing,Canada,2025,24.92,27.49,1.44,43928.72,45878.36,4.44,12.75,52.68,9.78,4
41,Customer Support Rep,Healthcare,Japan,2021,59.41,58.78,17.32,82062.2,95458.12,16.32,-9.3,67.16,4.53,4
42,Teacher,Manufacturing,India,2020,36.22,38.05,50.31,132778.78,119746.43,-9.82,9.62,16.35,64.24,4
43,Mechanical Engineer,Transportation,Singapore,2023,11.86,12.26,94.02,99056.9,114767.49,15.86,-7.38,51.24,54.56,1
44,Data Analyst,Technology,Singapore,2025,65.9,62.9,96.12,138642.08,142537.81,2.81,-1.23,16.41,31.9,3
45,Data Analyst,Manufacturing,Germany,2021,59.14,47.86,81.45,63822.57,66101.14,3.57,-1.93,66.6,87.75,5
46,Truck Driver,Healthcare,Singapore,2021,76.45,85.74,28.2,51292.75,55125.82,7.47,11.1,99.15,41.26,3
47,Truck Driver,Manufacturing,India,2023,51.04,56.68,34.08,141690.88,138606.53,-2.18,15.99,77.58,75.45,5
48,Data Analyst,Technology,Brazil,2026,7.22,8.38,50.53,129174.9,137984.02,6.82,1.9,45.03,1.08,1
49,Data Analyst,Manufacturing,UK,2023,63.38,53.02,31.93,144007.44,145404.25,0.97,10.95,66.87,44.84,4
50,Truck Driver,Manufacturing,Singapore,2020,45.52,42.4,67.25,120284.94,127792.17,6.24,11.28,18.21,49.44,2
51,Teacher,Technology,Singapore,2022,14.03,14.31,44.15,136524.5,125254.44,-8.25,1.79,22.87,76.15,4
52,HR Manager,Transportation,Brazil,2025,53.28,44.78,8.41,114116.3,108740.98,-4.71,7.32,17.64,98.66,4
53,Accountant,Manufacturing,Canada,2021,36.2,34.33,81.28,143669.83,133347.95,-7.18,2.87,79.94,55.84,1
54,Marketing Specialist,Technology,Australia,2020,39.7,46.15,11.12,89115.01,88950.03,-0.19,2.11,15.07,11.88,1
55,Marketing Specialist,Energy,Brazil,2026,18.23,19.31,74.6,100004.25,98916.6,-1.09,9.02,35.71,86.86,5
56,Accountant,Technology,Brazil,2020,25.65,30.4,1.22,146385.46,149665.85,2.24,5.13,16.64,55.39,2
57,Data Analyst,Finance,Germany,2023,67.85,68.48,62.94,113489.84,137926.28,21.53,-2.67,62.59,90.12,1
58,Marketing Specialist,Manufacturing,USA,2024,13.18,12.03,95.04,136831.65,166795.09,21.9,-3.08,34.96,18.81,1
59,Teacher,Education,Canada,2021,42.46,39.97,58.37,39328.16,40672.22,3.42,23.76,37.86,81.38,3
60,Customer Support Rep,Retail,Singapore,2021,72.93,63.09,91.09,128704.47,111712.48,-13.2,23.31,93.95,86.61,3
61,Truck Driver,Education,India,2020,28.17,22.83,37.65,127266.4,105463.95,-17.13,18.54,97.29,84.21,4
62,Marketing Specialist,Finance,India,2024,68.68,67.82,41.48,62808.85,62841.78,0.05,5.47,79.21,94.48,2
63,Financial Analyst,Retail,UK,2022,69.48,62.45,45.05,45499.13,46046.46,1.2,10.14,30.58,67.17,1
64,Customer Support Rep,Education,Canada,2021,68.27,64.4,11.36,110588.78,127742.78,15.51,6.16,56.81,85.22,4
65,Financial Analyst,Retail,Brazil,2020,48.63,49.82,87.67,78417.94,83478.85,6.45,18.69,73.37,21.3,5
66,HR Manager,Finance,UK,2022,19.55,15.75,35.06,100790.12,88864.05,-11.83,-15.39,91.37,34.83,1
67,Data Analyst,Healthcare,Canada,2022,35.98,40.06,39.65,104650.4,86824.44,-17.03,4.44,51.32,98.0,5
68,Customer Support Rep,Education,Germany,2025,59.48,55.41,63.34,58817.47,60973.71,3.67,-4.4,26.37,34.57,3
69,Financial Analyst,Energy,Canada,2026,72.78,72.02,66.76,50678.38,47991.12,-5.3,-2.93,25.93,8.87,1
70,Data Analyst,Transportation,Canada,2020,8.44,8.31,20.63,73712.38,88194.84,19.65,5.35,13.54,79.94,1
71,Mechanical Engineer,Healthcare,Canada,2021,53.95,44.93,87.36,140504.69,138926.43,-1.12,2.79,82.56,74.83,4
72,Financial Analyst,Transportation,Brazil,2020,22.92,20.25,37.05,88142.76,74787.45,-15.15,18.67,51.63,74.75,1
73,Data Analyst,Healthcare,Brazil,2020,5.0,4.5,71.33,137424.82,179736.28,30.79,16.2,19.65,44.74,3
74,Marketing Specialist,Healthcare,Singapore,2021,47.28,42.41,26.92,75274.1,70407.08,-6.47,-5.82,20.78,89.05,1
75,HR Manager,Education,USA,2022,51.55,55.24,78.92,89813.06,90507.93,0.77,-3.61,62.82,74.54,2
76,Customer Support Rep,Finance,Australia,2026,55.22,46.99,28.38,73569.88,80383.75,9.26,24.09,42.05,98.65,5
77,Teacher,Healthcare,Germany,2026,52.4,46.9,10.18,48343.1,45197.69,-6.51,0.13,26.79,28.51,2
78,Accountant,Transportation,USA,2021,22.14,25.65,8.02,92941.37,95455.03,2.7,4.5,20.08,39.79,3
79,Teacher,Manufacturing,Canada,2021,77.86,89.25,81.71,60948.34,64001.35,5.01,-4.78,93.64,55.68,1
80,Teacher,Technology,Japan,2021,50.01,45.61,76.95,52445.25,48442.32,-7.63,-13.05,55.68,24.24,2
81,Truck Driver,Education,Canada,2026,33.04,34.5,28.86,99748.59,99089.45,-0.66,-7.11,57.93,5.18,2
82,Customer Support Rep,Technology,Germany,2023,48.56,41.46,6.34,148795.23,163768.38,10.06,-0.77,32.92,68.15,3
83,HR Manager,Finance,Canada,2022,63.22,65.63,47.16,79420.91,84004.07,5.77,2.97,84.76,96.5,5
84,Teacher,Education,USA,2020,18.7,20.43,93.83,51747.97,52196.05,0.87,3.44,61.7,84.18,3
85,Accountant,Retail,USA,2020,19.78,22.12,20.16,49638.71,51596.72,3.94,0.79,69.87,52.31,5
86,Teacher,Education,Australia,2023,35.12,40.42,39.24,127991.93,101905.58,-20.38,-5.08,51.64,30.14,5
87,Financial Analyst,Finance,Singapore,2024,62.33,62.4,23.22,137948.95,149390.51,8.29,-17.11,91.58,62.42,2
88,HR Manager,Technology,Singapore,2020,18.18,21.38,62.77,70188.67,72564.54,3.38,0.85,65.81,53.35,5
89,Financial Analyst,Manufacturing,Australia,2023,72.57,80.95,15.17,67406.65,73003.66,8.3,-3.56,13.02,56.99,1
90,Mechanical Engineer,Education,India,2025,63.37,72.92,34.21,128550.88,125081.61,-2.7,-4.79,81.76,14.99,3
91,Financial Analyst,Retail,Singapore,2022,26.05,28.36,72.0,106937.72,111358.89,4.13,23.77,32.66,34.57,4
92,HR Manager,Healthcare,Germany,2023,22.71,26.42,58.34,78102.17,83212.91,6.54,4.44,23.8,58.62,4
93,Accountant,Retail,Singapore,2024,45.41,47.44,1.81,134654.87,136127.92,1.09,12.26,72.7,92.25,1
94,HR Manager,Retail,Germany,2023,59.51,51.24,57.63,102805.81,119184.69,15.93,-0.11,94.09,92.56,5
95,Marketing Specialist,Education,Japan,2023,41.56,35.13,98.48,130667.77,131395.92,0.56,15.94,63.21,39.9,4
96,Customer Support Rep,Energy,UK,2025,28.83,26.93,80.29,30555.84,27463.27,-10.12,-11.55,58.37,91.99,1
97,HR Manager,Education,India,2026,34.24,32.15,73.75,84266.15,82078.68,-2.6,-10.03,22.68,17.64,2
98,HR Manager,Manufacturing,Germany,2021,44.89,43.43,91.48,73487.27,87074.74,18.49,16.27,11.18,66.35,1
99,Software Engineer,Manufacturing,Japan,2024,12.46,14.76,14.87,79754.89,100278.7,25.73,5.59,16.04,75.0,1
100,Truck Driver,Transportation,Germany,2025,39.69,46.01,20.51,52882.53,52709.32,-0.33,-0.43,60.84,6.57,4
101,Truck Driver,Transportation,Germany,2021,79.29,77.81,52.44,82891.53,93220.52,12.46,-15.73,23.97,18.19,1
102,Data Analyst,Transportation,Germany,2021,60.32,71.09,37.33,62489.36,55549.44,-11.11,22.52,12.28,15.62,5
103,Truck Driver,Technology,Brazil,2021,75.12,79.89,2.71,56636.66,60723.97,7.22,-6.29,11.77,10.41,1
104,Truck Driver,Healthcare,Japan,2025,80.99,70.58,65.27,58581.93,57174.06,-2.4,1.25,75.0,85.57,5
105,Financial Analyst,Education,Japan,2024,68.12,65.31,66.81,54598.12,57836.34,5.93,1.9,11.17,8.55,5
106,Teacher,Energy,UK,2025,24.55,19.9,18.14,99964.99,109202.02,9.24,3.15,83.57,34.18,4
107,Truck Driver,Retail,Germany,2026,43.16,41.08,59.03,62167.64,54207.51,-12.8,22.55,59.68,43.61,3
108,Financial Analyst,Energy,Germany,2022,30.61,36.1,76.36,46813.58,46637.4,-0.38,16.03,90.51,79.99,4
109,Data Analyst,Retail,Germany,2022,29.76,24.08,26.87,94996.11,82188.87,-13.48,12.43,22.54,83.49,3
110,Mechanical Engineer,Finance,UK,2021,78.91,79.72,17.17,62676.88,63904.38,1.96,-4.78,34.66,55.42,2
111,Teacher,Healthcare,Germany,2020,55.6,62.93,20.64,31319.5,32121.37,2.56,14.83,64.05,66.5,4
112,Teacher,Education,Brazil,2023,22.28,25.97,41.88,75976.62,71229.46,-6.25,5.26,24.97,73.8,4
113,Software Engineer,Manufacturing,Singapore,2023,5.8,6.04,24.53,76715.47,69632.85,-9.23,-8.52,74.71,29.71,5
114,Software Engineer,Transportation,Japan,2020,39.65,39.27,66.37,142419.57,130194.87,-8.58,12.0,12.81,26.23,3
115,HR Manager,Transportation,Singapore,2024,51.66,42.39,49.64,101621.14,113300.19,11.49,-2.03,19.59,7.51,5
116,Marketing Specialist,Manufacturing,Japan,2021,60.97,60.86,68.84,82179.28,87995.54,7.08,-0.62,81.95,69.47,3
117,Teacher,Energy,USA,2023,29.05,30.1,36.1,40989.85,40684.75,-0.74,11.21,26.66,54.19,3
118,Teacher,Healthcare,Japan,2021,71.11,77.71,80.66,109054.0,118148.26,8.34,9.59,32.47,48.94,5
119,Financial Analyst,Technology,Singapore,2024,25.48,30.46,94.41,34731.22,36223.33,4.3,7.08,26.25,56.79,5
120,Software Engineer,Finance,Singapore,2021,64.08,52.14,69.74,65681.88,65422.08,-0.4,11.82,87.58,84.45,4
121,Accountant,Technology,Canada,2023,32.34,36.59,3.7,101552.39,97139.97,-4.34,1.91,16.93,69.63,3
122,Customer Support Rep,Energy,Australia,2022,48.79,53.18,6.54,67834.84,77650.39,14.47,6.97,38.69,62.59,4
123,HR Manager,Transportation,Canada,2026,72.02,75.36,23.3,32928.09,33199.04,0.82,15.65,94.52,79.88,1
124,Truck Driver,Technology,Brazil,2020,94.86,89.19,76.72,78231.71,96216.38,22.99,1.37,88.63,98.41,3
125,Customer Support Rep,Finance,USA,2026,78.78,76.19,42.14,118509.88,113530.25,-4.2,2.18,41.92,28.72,1
126,Customer Support Rep,Manufacturing,USA,2024,45.74,40.87,4.21,32144.87,32033.38,-0.35,7.34,44.59,67.96,2
127,Customer Support Rep,Healthcare,Japan,2025,40.28,47.53,78.63,40729.32,44738.4,9.84,2.86,95.03,46.74,1
128,Marketing Specialist,Manufacturing,Japan,2025,52.94,45.89,99.12,57800.6,58762.71,1.66,9.92,64.7,51.27,3
129,Mechanical Engineer,Healthcare,India,2026,26.15,22.76,22.05,52372.59,49034.43,-6.37,16.89,15.21,96.91,2
130,HR Manager,Finance,USA,2022,71.87,84.16,99.49,50867.43,58093.17,14.21,-0.71,72.64,15.39,5
131,Teacher,Transportation,Germany,2020,67.11,59.71,22.38,94436.93,109051.09,15.48,22.96,18.23,87.75,5
132,Customer Support Rep,Finance,Canada,2026,43.59,37.13,88.87,144678.18,148814.03,2.86,8.34,68.97,55.09,5
133,Data Analyst,Technology,Australia,2024,6.09,5.87,37.27,61170.45,60967.81,-0.33,22.95,17.29,22.02,4
134,Mechanical Engineer,Finance,Brazil,2025,57.83,48.02,85.12,89417.58,112012.8,25.27,-0.31,84.22,34.78,3
135,Software Engineer,Transportation,Japan,2020,47.46,48.71,26.7,135435.6,143435.17,5.91,16.09,86.55,86.73,4
136,Mechanical Engineer,Energy,UK,2023,59.59,67.62,69.75,111616.89,127044.12,13.82,11.49,24.27,88.09,2
137,Financial Analyst,Retail,Brazil,2026,71.03,57.65,82.58,45464.38,50949.7,12.07,-3.17,24.47,81.8,4
138,Truck Driver,Transportation,Canada,2022,83.25,83.5,0.64,64444.58,65676.11,1.91,5.46,66.86,25.98,2
139,Data Analyst,Retail,Japan,2021,44.38,45.09,77.98,42837.68,43905.98,2.49,20.77,96.67,34.19,4
140,Marketing Specialist,Transportation,Australia,2020,54.28,63.66,10.25,142467.42,136107.19,-4.46,6.94,37.09,70.82,4
141,Mechanical Engineer,Healthcare,Japan,2021,14.71,15.2,34.59,104509.86,98668.58,-5.59,8.77,78.24,2.46,3
142,HR Manager,Education,Canada,2024,11.55,10.73,48.86,122448.89,115650.53,-5.55,23.81,34.63,99.71,3
143,Financial Analyst,Technology,Brazil,2021,39.83,39.06,16.36,125377.15,112573.22,-10.21,12.08,17.41,68.05,1
144,Customer Support Rep,Transportation,Japan,2024,70.82,64.39,95.09,48126.95,51256.17,6.5,4.01,47.78,63.85,2
145,Truck Driver,Energy,Japan,2026,52.83,48.06,98.4,79120.08,77211.42,-2.41,8.52,29.18,3.11,1
146,Data Analyst,Retail,Germany,2023,45.62,43.22,86.44,86785.19,89759.54,3.43,9.57,79.38,84.48,2
147,HR Manager,Education,Japan,2024,63.27,66.47,13.12,33903.14,34569.41,1.97,12.09,81.69,48.15,5
148,Mechanical Engineer,Transportation,Brazil,2022,18.21,15.48,68.56,81636.71,81308.87,-0.4,-9.31,15.78,58.2,3
149,Truck Driver,Retail,Canada,2022,43.83,49.05,31.04,84626.42,80798.71,-4.52,-19.24,64.0,29.17,2
150,Data Analyst,Manufacturing,Australia,2020,48.65,55.66,77.99,34754.26,31393.61,-9.67,4.52,31.78,98.67,5
151,Accountant,Manufacturing,Germany,2025,19.97,19.97,61.82,114295.8,111770.27,-2.21,5.27,39.38,51.77,4
